Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",35.27000045776367,158.32984924316406,113.47160339355469,33.033599853515625,17.177799224853516,5.592700004577637,0.23549999296665192,10.027600288391113,29.27090072631836,24.240100860595703,42.36909866333008,19.791200637817383,34.89250183105469,0.949999988079071,1.1187000274658203,0.4205000102519989,,2.073199987411499,0.8385999798774719,0.2911177674906458,0.2676001958307895,0.22037854515648875,1.2142751720262472,0.4835221810915567,0.609668836057028,0.42906272803408696,1.0931910171485848,0.31855106856638227,,0.33021290502004796,,,33.62053145194542,14.912639491215792,179.45119399164005,,,,,,1.909999966621399,,,,,,,314.88547445684674,8.927855695208356,314.88547445684674,8.927855695208356,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Vladimir Guerrero Jr.","TOR",33,146.4268798828125,119.78309631347656,37.042701721191406,22.54450035095215,7.188499927520752,0.10289999842643738,7.2067999839782715,22.882299423217773,22.480600357055664,24.511899948120117,7.467800140380859,17.38050079345703,0.878600001335144,1.069599986076355,0.18379999697208405,,0.9589999914169312,0.4702000021934509,0.30924815655332,0.16740027492040627,0.11869747417528047,1.4103103379706834,0.42691354724182656,0.5514751427389347,0.404678472641946,0.9783886899807612,0.24222698618561472,,0.309933819680387,,,28.194082010783323,10.892617618006087,162.70062412511643,,,,,,18.209999084472656,,,,,,,253.51017278134822,7.682126447919643,253.51017278134822,7.682126447919643,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr.","ATL",38.2400016784668,175.8168487548828,143.5052032470703,41.63880157470703,25.332399368286133,7.46019983291626,0.4325000047683716,8.413700103759766,29.43090057373047,22.285200119018555,29.150400161743164,3.692199945449829,33.0635986328125,1.2307000160217285,1.0907000303268433,0.8396999835968018,,5.140699863433838,1.9110000133514404,0.2901553437265843,0.16579981024676166,0.1880570540705602,0.8816463230597695,0.41159638312658076,0.5240583460516312,0.39707800313012503,0.9356547291782119,0.23390300232504685,,0.3222027840552611,,,32.76809658452461,11.993980856474055,157.4795421798718,,,,,,5.71999979019165,,,,,,,288.42052632570267,7.542377449426583,288.42052632570267,7.542377449426583,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Fernando Tatis Jr.","SDP",35.22999954223633,156.43768310546875,132.61830139160156,37.36109924316406,21.829599380493164,7.610400199890137,0.36010000109672546,7.560999870300293,23.782899856567383,22.32080078125,21.463199615478516,3.2852001190185547,28.56599998474121,0.9386000037193298,1.0059000253677368,0.4115999937057495,,4.767600059509277,1.7632999420166016,0.28171903011215965,0.1371996771456161,0.18260306223969255,0.7513547443444402,0.3830316643730986,0.515575139685018,0.3798157095177239,0.8986068040581165,0.23385610957285835,,0.3056508176179343,,,26.963751622877734,8.479433674534048,145.62134718638586,,,,,,14.199999809265137,,,,,,,243.12658286988736,6.901123645443402,243.12658286988736,6.901123645443402,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ketel Marte","ARI",41.099998474121094,186.3942413330078,165.8251953125,49.01350021362305,29.297399520874023,10.176300048828125,0.30309998989105225,9.236800193786621,28.783100128173828,26.714500427246094,16.9060001373291,2.2367000579833984,26.416000366210938,1.6775000095367432,1.2611000537872314,0.7245000004768372,,1.3655999898910522,0.5687000155448914,0.29557330007214155,0.09070022773463916,0.14172111851361704,0.6399909109235853,0.36407106591389676,0.527703285368925,0.37750359083644247,0.8917743512828218,0.23212998529678341,,0.3026374675531563,,,31.777190121841606,9.753273939084117,144.03305568895587,,,,,,32.119998931884766,,,,,,,283.4680481672287,6.897033058181653,283.4680481672287,6.897033058181653,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Yordan Alvarez","HOU",37.91999816894531,170.74830627441406,149.22630310058594,43.579498291015625,27.42530059814453,8.33180046081543,0.2939000129699707,7.528600215911865,25.128299713134766,23.484399795532227,17.41629981994629,0.5121999979019165,30.606300354003906,2.390500068664551,1.1949000358581543,0.5202999711036682,,0.91839998960495,0.3993000090122223,0.2920363058357137,0.10199983941249817,0.17924804656519241,0.5690429623477146,0.3723611688630159,0.5031619819176365,0.37622337621841345,0.8755231507806525,0.2111256760819228,,0.32106229567710654,,,28.93233443764224,8.75710606770032,143.15362246212246,,,,,,33.290000915527344,,,,,,,251.47250038981437,6.631659085779136,251.47250038981437,6.631659085779136,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Junior Caminero","TBR",34.5,151.36575317382812,137.6804962158203,38.9369010925293,21.845600128173828,7.0055999755859375,0.1964000016450882,9.889300346374512,21.712299346923828,26.666200637817383,11.685400009155273,1.0595999956130981,26.420900344848633,0.7567999958992004,1.1051000356674194,0.1378999948501587,,1.1799999475479126,0.5325999855995178,0.2828062228327095,0.07719976126789911,0.17455005370010562,0.44227864518756316,0.33974641150244944,0.5520259118665625,0.3755853808985275,0.8917723233690119,0.26921968903385296,,0.28345926929427884,,,25.56966429918782,7.684633962416345,142.7153566628022,,,,,,16.700000762939453,,,,,,,232.83861305266618,6.748945305874382,232.83861305266618,6.748945305874382,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Yandy Díaz","TBR",39.0099983215332,177.3989715576172,154.83770751953125,46.79650115966797,30.666400909423828,9.34119987487793,0.29179999232292175,6.497099876403809,25.665700912475586,21.945499420166016,19.442899703979492,2.3062000274658203,23.2101993560791,1.2417999505996704,1.1848000288009644,0.6917999982833862,,0.617900013923645,0.28279998898506165,0.30222935943277934,0.10959984453835832,0.13083615509315785,0.8376877512207624,0.38188142907356937,0.492209561628586,0.37385644580309957,0.8740909907021553,0.18998020219580664,,0.31903839466817097,,,29.71834046078682,8.75728472992792,141.52767848092162,,,,,,137.13999938964844,,,,,,,259.4844464272261,6.651742055676859,259.4844464272261,6.651742055676859,,,,,,,,,,,,,,,,,,,"Yandy Diaz","16578",650490
"Juan Soto","NYM",42.65999984741211,192.56307983398438,159.3007049560547,41.36479949951172,25.413400650024414,6.381199836730957,0.34139999747276306,9.228899955749512,29.427900314331055,25.44179916381836,30.13610076904297,0.5777000188827515,37.11709976196289,1.155400037765503,1.3395999670028687,0.6312000155448914,,4.429900169372559,1.944100022315979,0.25966488667405946,0.15649988977650542,0.19275293994031925,0.8119195993843797,0.3785526845330686,0.4778108179740963,0.371204593204745,0.856363502507165,0.21814593130003684,,0.2811679854567183,,,31.84407325493151,9.091261259090677,139.70600947729167,,,,,,4.639999866485596,,,,,,,276.3931240171194,6.47897620735426,276.3931240171194,6.47897620735426,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Bobby Witt Jr.","KCR",32.18000030517578,145.74073791503906,128.44949340820312,37.53900146484375,21.859500885009766,8.422800064086914,0.7651000022888184,6.491600036621094,22.53700065612793,19.890499114990234,14.88010025024414,5.392399787902832,24.1742000579834,0.8744000196456909,1.0045000314712524,0.5321000218391418,,5.858099937438965,2.595099925994873,0.29224717411338896,0.10209980039293225,0.16587126155540655,0.6155364071842397,0.36701366685427844,0.5213473357479022,0.3680836716773554,0.8883610026021806,0.2291001616345132,,0.3142825106617066,,,23.731791598447412,6.511400167364935,137.56211731196737,,,,,,3.0199999809265137,,,,,,,222.70475623607635,6.920595218274652,222.70475623607635,6.920595218274652,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
